@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-prefetch-misses REAL
@ATTRIBUTE counter_values_L1-icache-load-misses REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cycles REAL
@ATTRIBUTE classLabel REAL

@DATA
275200,241223,3602916,38576606,7
175947,186697,2510480,27082571,7
173909,180608,2505705,27009336,7
179965,173928,2511998,29027720,7
168428,186215,2567916,27562435,7
177579,189800,2511184,28856351,7
189885,196367,2501989,31062761,7
183992,176730,2505260,28208641,7
148976,188519,2503936,28981481,7
258539,267086,3734002,38975078,7
156162,178056,2214914,28596098,7
140973,170534,2157053,23911391,7
211473,210716,2669852,31775422,7
133290,171629,3396758,25926410,7
220068,235836,3071296,35533737,7
210775,227073,3755356,38795971,7
171127,190458,2518499,28458970,7
221219,228427,3071293,34712951,7
215130,222176,3112098,34863833,7
234554,217674,3036398,34106153,7
227129,257819,3525082,38986455,7
174059,196980,2511955,29195499,7
175957,203569,2427002,30023576,7
284740,329574,5004981,57968440,7
205349,214785,2936991,31306161,7
222201,200242,3021441,31881404,7
190966,201501,2532269,30193631,7
227490,251498,3150730,35924190,7
179036,205003,2508499,30298164,7
218969,229333,3080775,35275715,7
226158,222646,3086135,32764681,7
228487,217054,3062815,32919365,7
187779,207532,2534201,29795834,7
514109,2075362,18077956,408093263,8
486719,2040712,17225802,347819409,8
452571,1993677,22145684,536083436,8
437666,1851702,16177204,375284095,8
371290,1510144,12015873,296077857,8
331164,1595653,11818085,288024689,8
502054,1996887,19113508,453359213,8
548206,2148393,16571100,387733652,8
331046,1541981,11303752,254494277,8
539778,2294450,17982130,429031618,8
415718,1644595,15157503,359904576,8
507434,1768811,17013552,417555754,8
417643,1893646,16505238,337181992,8
553937,2186598,20813905,542297669,8
339230,1327037,12238643,292593848,8
398903,1821903,16183229,327837730,8
339884,1442911,14281168,351749590,8
309811,1418293,14522347,302016990,8
382223,1706659,12817099,290330686,8
429576,1937250,17267975,424282614,8
439731,1926491,15455354,332011015,8
528227,2129426,20831979,523978146,8
629021,2515420,18148451,443629516,8
392315,1789169,14222333,301308763,8
511537,2085276,19048445,450192509,8
540101,2162284,18831120,445770425,8
514815,2111001,19044956,460625620,8
415578,1670820,14743233,340667098,8
476911,1951795,17430255,413672483,8
490376,2037565,14620959,318296183,8
448824,2048575,18498264,438646145,8
288214,1461933,11650397,271249359,8
481130,1985066,20390777,503615475,8
554163,2169668,16454399,397262690,8
323723,1308641,11078455,268199394,8
495884,2065764,18387408,451829063,8
369973,1503063,11746052,300051178,8
525679,2299144,17194651,377906651,8
480590,2007847,12952500,345534335,8
385192,1835795,15576464,398275977,8
513477,2144708,18848664,420880404,8
377015,1645462,14841122,353976928,8
446338,2077084,19099307,456402283,8
445937,1826710,16504211,388197687,8
541713,2400866,20216920,435719346,8
462536,2010590,19020016,466539798,8
488454,2278970,20243056,440860781,8
498671,2079922,18483153,433084019,8
372652,1464152,14324215,351448140,8
472931,2005885,16064260,381457189,8
368723,1561056,12823524,303696228,8
533891,2391099,22124458,529380721,8
547410,2482708,22567675,517817342,8
583768,2373523,21665227,397751728,8
393165,1560400,12656775,382743414,8
536956,2290463,17052647,393772826,8
561369,2382845,20637664,471781781,8
428284,1868465,17666646,421509812,8
397759,1870952,18777242,454673779,8
418028,1752067,13689658,289136555,8
377764,1644361,12890302,321472870,8
245189,1089331,8873590,213853760,8
336515,1563423,9164226,223660592,8
319244,1446634,12320641,328446017,8
206887,947287,5566665,149586524,8
512426,2235964,19902054,429076178,8
507719,1955807,18966255,489005401,8
491216,2039320,15856706,374441425,8
373193,1446878,14120086,320730936,8
455326,1646524,15652740,388402235,8
429936,1909369,15943397,352750640,8
507478,2022580,18210133,432304774,8
535893,2057413,15359605,346402653,8
189859,833922,6748986,176926328,8
456613,2019943,15359515,343396812,8
315533,1348824,12684696,319589784,8
578319,2307873,21991771,529799919,8
513776,2279197,19373473,420184404,8
400846,1970308,17057984,400307822,8
305521,1292771,14324804,372086631,8
597866,2420114,20895999,428646391,8
429285,1525203,14309159,379144144,8
490489,1843936,16764534,393130513,8
344477,1507122,15324118,321810013,8
517657,2036234,17888080,414754003,8
558228,2290456,19630308,461716561,8
627855,2495070,21678060,513900481,8
422957,1932330,26048966,440491360,8
281967,1256207,12091045,308717140,8
608470,2474743,20451215,447520297,8
550274,2012758,19275745,484579379,8
624564,2432108,21222397,490988591,8
320800,1303948,10131022,234841450,8
407560,1664526,15670867,396344175,8
450793,1859020,16873773,376325173,8
537311,2186322,19618167,432141548,8
568931,2217690,19722474,453464155,8
470743,1999121,19158557,453973725,8
122077,578384,4720998,87472053,8
88053,649333,4597801,74756321,9
78316,443019,3200330,56840708,9
106197,831117,6697357,87053215,9
72368,376687,2818822,49061508,9
68056,327791,2643348,41226188,9
98848,724078,5674098,80748936,9
84342,496245,3412100,62779340,9
68679,379339,3031519,48976595,9
92530,631554,4544952,71489313,9
92508,605467,4880333,71600645,9
90986,609206,4511509,72221087,9
70361,400213,3151526,52316884,9
96147,665477,5474430,76412576,9
94395,539679,4669118,70121563,9
76113,432655,3017921,53553949,9
73842,406390,3006847,53915936,9
105891,700894,5904453,81338512,9
