@RELATION perfEvents

@ATTRIBUTE counter_values_cache-misses REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE counter_values_mem-stores REAL
@ATTRIBUTE classLabel REAL

@DATA
641213,1287805,198355407,52147718,6
646779,1311349,194121910,48863039,6
696499,1313689,184307716,49854797,6
660768,1330711,185672362,53604964,6
639684,1332970,199108333,47828488,6
682423,1274262,180369039,55439792,6
229943,647018,33559673,4125298,7
175710,472824,26832416,3291839,7
158761,431796,21097887,2680562,7
254420,633672,34571075,4284041,7
178088,524860,31517259,4812869,7
259593,719307,37824924,5021988,7
217977,548513,26749373,3266955,7
203067,547818,27354125,3391502,7
197209,504027,26593188,3236900,7
180731,495514,26782215,3284405,7
201452,543924,27389309,3403744,7
202646,520105,26508712,3203513,7
212592,547997,27463381,3410996,7
193816,509301,26490036,3197543,7
196962,507213,26644679,3233293,7
207709,556922,29529452,3833729,7
192508,512788,26474295,3194249,7
199644,550290,27346818,3385702,7
197936,522910,26570524,3223146,7
200718,524181,26521997,3203076,7
205845,546921,26819361,3265777,7
193195,521508,26371362,3173370,7
199623,534155,27470265,3409002,7
181666,518138,26638891,3233611,7
195207,524256,26643544,3232173,7
216035,546374,27400817,3392032,7
181520,490206,26772536,3262340,7
238395,668487,29847346,3915963,7
266862,734815,33797977,4668961,7
276495,803340,37223456,4842142,7
264765,757589,32563035,4146239,7
250471,688229,29884691,3914878,7
179570,511532,22453666,2954845,7
253867,665030,29826481,3925178,7
230993,610367,32413045,3826906,7
206437,555142,30933816,4126416,7
187211,516960,26671916,3189748,7
193478,519509,27286769,3367340,7
215634,572794,27081606,3371668,7
197071,525232,26669410,3235472,7
228665,576311,27224326,3357085,7
189167,515222,26519598,3200080,7
191893,536351,27439830,3406536,7
180823,490546,26550923,3209422,7
186643,527269,28660318,3652815,7
235709,575775,27585300,3436653,7
220039,552793,26614656,3228767,7
194759,521473,27374383,3388016,7
180477,498744,26498855,3200235,7
182973,494419,26688263,3239647,7
179806,498453,26469963,3193754,7
196996,527896,26474206,3195860,7
221823,561453,27347430,3383385,7
210781,515499,26544017,3211674,7
230549,605635,32727458,3898264,7
195149,504452,26373934,3173356,7
153961,419919,20354876,2522381,7
198622,555569,27367927,3392365,7
198066,519861,28777359,3402380,7
209171,577812,36479756,5267460,7
173045,463536,26748632,3259119,7
204221,551282,26775305,3266796,7
203518,556229,27531565,3424752,7
168826,486309,22788485,3041038,7
249160,617238,32395982,3809522,7
197012,518646,27311215,3371693,7
179942,493184,26526121,3204150,7
198805,520674,27297406,3376732,7
181185,486244,26807314,3267534,7
195622,509058,26365326,3175770,7
205807,552584,26682038,3237503,7
203577,516615,26415452,3185998,7
206899,547586,27749787,3481119,7
215874,499710,26462258,3191183,7
239965,599948,31753745,3839973,7
205296,526319,25969343,3318010,7
152058,411072,22860277,2697431,7
207671,536721,27717088,3464172,7
200607,506235,26299531,3169541,7
210540,547610,26649917,3230641,7
199570,530040,26872204,3286094,7
187937,520113,26451676,3194461,7
284201,790067,34966528,4463474,7
191447,493639,26488916,3198624,7
116538,289068,19061197,2163339,7
274796,764531,36320721,4742781,7
205275,528610,26574237,3222138,7
168081,441224,22696323,2961316,7
295546,858611,35527948,4623912,7
217312,594800,28332803,3588920,7
188146,534071,26880096,3288318,7
212045,588034,28869192,3622993,7
229619,628300,29461998,3830365,7
239801,681896,34047507,4199047,7
205017,576533,23197377,3153223,7
293890,817504,36579344,4845341,7
233650,685646,30835472,4085455,7
232614,705546,30456018,4132511,7
252084,676993,29776990,3926781,7
261734,898904,289954490,41111516,8
371487,1072083,424054246,60492516,8
416300,1233160,523608343,74290091,8
417214,1625055,425499512,61363235,8
464512,1371298,535877569,76087601,8
398309,1150478,480094702,68254710,8
427973,1497761,496853417,71779484,8
448831,1516441,545464238,77308486,8
438305,1399611,463244716,66588102,8
377437,1216357,507057106,72134640,8
396579,1269641,432299672,62371075,8
330114,805087,406901942,57468070,8
334514,1201273,408309424,58250132,8
423688,1369023,463828119,66806069,8
452057,1351253,549173282,78410414,8
431210,1219135,555664698,78922466,8
416666,1354054,470382987,67656929,8
493259,1407271,613171423,87326971,8
415023,1160064,472400179,67690122,8
395881,1219232,462109594,66040468,8
411018,1325052,510029296,72673393,8
461901,1449552,525779110,75358629,8
411274,1314589,536382689,77120228,8
411100,1244585,502835890,71838770,8
386169,1261675,534529497,76250182,8
349115,1051115,431992617,62054739,8
307041,1054453,376010627,54395105,8
404126,1245854,536815736,76343470,8
416377,1315715,508401924,73392070,8
418158,1350178,569976864,81080370,8
424662,1281482,509741517,72588136,8
395824,1241155,536215129,77178894,8
403462,1754465,464192104,66994737,8
450181,1214630,524610950,69510521,8
284930,858042,351927427,56270123,8
408803,1353866,487180065,69369893,8
416809,1308330,543979755,77701476,8
417078,1357548,493831137,70895376,8
331682,981340,405571990,57900329,8
362333,1376009,447297825,64092000,8
370473,1135215,445522177,62214710,8
347450,1155159,382236223,56719479,8
298989,855400,340260706,48646317,8
387646,1329473,491963424,70631069,8
432473,1295285,590398029,83109917,8
367955,1204813,410535567,60264172,8
388125,1285955,469132963,67107079,8
399874,1286023,463161714,66984151,8
301330,879586,346791779,49182600,8
332999,1073550,369057928,52972714,8
309562,966127,384369115,54834954,8
428749,1491615,499565617,71974404,8
419439,1203894,524221803,74427775,8
425720,1400456,493398195,70901729,8
426755,1205636,541261481,77015297,8
412119,1411473,465031378,66798975,8
465611,1435923,571975131,81773890,8
464761,1463910,574817573,76140471,8
277718,870539,290614288,47513706,8
374671,1127987,401175665,57435669,8
293281,870616,313672116,43991243,8
402142,1450832,432806498,62028175,8
289838,938890,295330857,42288669,8
256872,850796,258246652,36244123,8
412919,1196511,476316185,68056468,8
374798,1261482,384600571,54303963,8
315402,940560,322083276,46842568,8
360200,980431,367169236,50659017,8
372229,1055064,380494493,54891081,8
429864,1294762,463900014,66028277,8
408967,1346662,463700690,66248587,8
396306,1251352,415552404,59603734,8
285073,889885,286627017,40193959,8
389370,1063931,479530718,68294241,8
439919,1303075,564775071,80694917,8
386561,1468002,441516292,63539241,8
419883,1262379,525317088,74682381,8
453961,1337357,530269496,75961440,8
409094,1188452,489997747,69691035,8
450811,1218410,505188939,72095066,8
407494,1359282,423272811,60804087,8
454411,1322604,488627053,64282378,8
402755,1256336,403777796,63204016,8
455092,1310326,511207548,72744300,8
383921,1118791,394778032,56849336,8
451100,1228941,510428635,72338311,8
416758,1345921,458491715,65738255,8
391826,1293774,468482398,66602153,8
417314,1648478,419356972,60250156,8
399767,1476505,414095525,59612607,8
372972,1096610,402671413,57579741,8
370146,1347499,427425391,60784248,8
439938,1344220,510583286,72653732,8
429882,1351025,506738948,72363651,8
401155,1407736,449093585,64440072,8
424731,1245593,496152471,70480190,8
430214,1377073,499820930,71647005,8
381535,1174732,462903375,65802934,8
46564,201501,31874838,4996968,8
341410,753795,32777709,6703466,9
253096,633456,28857745,6143870,9
259671,582517,29455597,5687823,9
283564,628519,30236157,6558378,9
272995,690044,30127539,5470081,9
281156,654749,28996170,5942684,9
261794,606916,27207143,5460912,9
302157,687529,30318404,6556528,9
252000,604348,26890861,5485405,9
251198,607413,28355761,6024851,9
278386,624337,37283705,7353641,9
259789,637113,32158292,6694105,9
333209,803604,41420227,8269577,9
244094,519499,25060126,5196006,9
312460,701941,33837862,6990236,9
240311,615793,29039010,5646810,9
276001,663939,32273634,6889162,9
338875,809108,41950059,8910213,9
