@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_bus-cycles REAL
@ATTRIBUTE counter_values_cache-misses REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE classLabel REAL

@DATA
866782,961099,237800,12577664,7
1049349,1217330,255701,15466795,7
861683,922051,235920,12500487,7
1022619,1185712,263748,15222717,7
864883,959154,210226,12612419,7
946789,1273261,235527,17389829,7
1062262,2398096,315924,40656043,7
1113609,2089141,335122,31352916,7
901201,1161200,226586,13217959,7
862653,1125750,260521,12511676,7
1028471,1123303,238538,15155306,7
1021620,1305193,272689,15313918,7
917535,1139131,243778,13222578,7
857873,987551,212105,12113775,7
1032667,1130686,262637,15336238,7
908211,1180498,231957,15004518,7
863278,999213,218128,12525344,7
895532,1379524,256951,20848382,7
870567,1002263,233508,12501749,7
859107,938984,238372,12606613,7
869987,998174,209869,12522739,7
1031908,1859674,298701,20000077,7
797391,1059673,208605,11424250,7
1104774,1448456,297101,16779116,7
723716,957630,200864,10048879,7
878955,1179305,248305,13999393,7
703828,798907,186130,9881483,7
936940,1321614,274300,14395543,7
745752,944708,211936,11291337,7
924264,1397594,279084,13865442,7
909085,971213,252699,13295556,7
678899,888473,181003,9493299,7
948916,1328334,252109,15363210,7
1121751,1689063,316029,19562053,7
1006679,1511374,292888,16202702,7
983298,1430282,258417,15594211,7
765389,1028804,194057,12057309,7
917844,1089218,263482,13929352,7
912410,1091292,244260,13996550,7
584234,893344,162246,10048232,7
1082621,1249698,290023,15153723,7
559083,1873107,177487,18796263,7
1064850,1064552,304640,14172680,7
885320,1247220,259997,14583157,7
922428,1044833,227938,13044892,7
1014864,1124148,279885,15179590,7
869313,929118,220226,12532547,7
860426,1111391,218196,12556481,7
1031323,1143770,272734,15134381,7
957686,1664450,291631,19400991,7
852286,924188,244454,12473366,7
699890,748520,173801,9905820,7
1042152,1256855,265809,15331507,7
883671,1056700,234066,12908311,7
866847,1051977,252256,12612336,7
1056198,1435713,284775,17376763,7
695285,769630,179097,9895935,7
1043715,1275370,266193,15423138,7
854148,956236,239091,12509185,7
864557,990988,220214,12395320,7
864176,1033969,239241,12507362,7
961395,1091004,253357,13430161,7
1021890,1184962,281169,15110018,7
519235,599948,133826,7083346,7
1033983,1185450,273971,15305466,7
850478,1008069,233885,12399007,7
871593,985662,237897,12575196,7
1020346,1151837,298043,15095552,7
857350,931815,218191,12434111,7
175420,216733,42849,2861989,7
2725991,14857095,398940,460852208,8
2884077,17863036,447938,563151680,8
2731805,17714927,410362,554197881,8
2459307,13818684,383797,433377967,8
2560786,16981676,427550,561550668,8
2612748,15169703,419100,478732791,8
2662785,15812658,413933,526142925,8
2480285,16943449,427577,526873114,8
2617687,15959823,404322,473570100,8
2553587,14703194,378354,451218319,8
2384652,15243123,402737,484778241,8
2462811,16475864,387571,522223712,8
2860481,16702169,393571,508189543,8
2100951,14021387,362675,443302411,8
2040317,13878367,307224,443635662,8
2771006,16061978,414594,498044330,8
2409945,16917993,396327,549071814,8
2586684,14940564,396754,467701032,8
2461034,17420030,428427,567399245,8
2862848,17346682,432717,587727354,8
2697712,14674800,390992,472381876,8
2507367,17995394,420742,567994709,8
2807830,15724798,408203,475315332,8
2321790,15993808,413967,534630883,8
2136793,15426475,351635,474825453,8
2875886,17608171,440474,566941455,8
3027229,17019007,421752,533984424,8
2269040,14701515,369978,480752888,8
2430481,16261651,389400,527045404,8
2431773,14618490,392827,452846763,8
2613526,15900783,425175,507446230,8
2164836,12611549,325951,387644187,8
2475988,17748521,442582,575024666,8
2237791,13588944,336062,427377857,8
2938954,13910680,409767,448162888,8
2243733,16243513,400718,518449248,8
2342576,14908308,376767,479351280,8
2150325,13549749,349260,431510031,8
2992158,18356523,443153,573483808,8
2745232,16097965,435568,512460127,8
2875717,17817183,454955,570505437,8
2909266,17512816,451891,565055623,8
2381246,15744468,406454,510782956,8
2737788,16801248,420442,513988033,8
2340819,16501281,403281,520403608,8
2735341,17209487,441726,525975833,8
2992374,16470895,410751,494823877,8
3001646,18237978,441724,565872247,8
2297216,16268524,414259,503317827,8
2473664,14935453,389781,463782133,8
2652644,15644532,411961,489789845,8
2220306,14583569,407454,479668339,8
2483040,15326942,408441,493317273,8
2731709,15512023,398147,475487169,8
2456117,17062082,428589,529088941,8
2759037,15920761,426264,487997833,8
2516484,14933070,400514,449894528,8
2483671,14408339,409622,457982736,8
2390614,14568925,408051,455165144,8
2352613,16052978,427754,506566103,8
2424506,12976669,385698,390381120,8
2235105,15953475,434699,502099806,8
2327797,13376207,409768,419236360,8
2669000,17938616,470877,562789991,8
2771805,16097526,444595,523391262,8
2845019,16756047,433386,512077809,8
2157659,12936122,343018,393065904,8
2469848,14997504,382767,455524478,8
2687718,14066629,402317,424829799,8
2395760,15938509,407302,515821002,8
2031973,13238622,366882,404091479,8
2678443,17053568,436100,542611483,8
2614610,15346066,414554,469899169,8
2707681,16722220,432780,519562441,8
2157994,13657454,355792,419142176,8
2152056,11433511,324473,366948517,8
2416021,16835687,451480,531800528,8
2812845,17573762,436832,540106138,8
2134711,9938287,326597,287050462,8
997444,4948016,162556,138707531,8
1805754,12932546,332731,400004224,8
2499348,15292719,389340,425657758,8
2486680,16164244,411579,519092112,8
2561658,15022089,383087,473368662,8
2594325,15034685,382811,467887819,8
2491904,18388162,427287,587601158,8
2824977,15709253,412137,498978983,8
2558113,17727310,404130,570831081,8
2496485,17066406,372983,502217738,8
2323752,11194913,282998,338996916,8
2049460,14929539,312512,475318631,8
2796261,15761481,360889,470188423,8
2991916,18110002,410924,583396794,8
2926353,18111954,419771,558760180,8
2624814,18271751,427976,581809851,8
2042465,9686304,257692,310160004,8
2698313,18086521,431505,580264888,8
2962217,15464671,413469,475857031,8
1526206,9726321,229082,319947639,8
781567,2350265,322189,31864354,9
768328,2325043,324144,30684265,9
774489,2242395,317473,32135747,9
791853,2419510,312924,37673094,9
737611,2331777,303657,31161346,9
836585,2577306,344122,32061096,9
847481,2466479,327254,33562693,9
750521,2165814,320381,29826356,9
795470,2419752,323942,29604688,9
776505,2486289,317089,29701063,9
808860,2385024,324588,29554855,9
704944,2123407,304324,29438894,9
728414,2316406,315905,29077829,9
933013,2779704,362157,35987452,9
770482,2298001,314082,29387115,9
917628,2860459,360948,36878063,9
772419,2291213,321602,29586463,9
763880,2247817,316598,30116921,9
839843,2505903,366133,30314662,9
620418,1889318,250588,31712111,9
877009,2564352,360967,34647368,9
610983,1990250,266235,29843396,9
781949,2333299,317921,34854317,9
675011,2142742,295498,30551210,9
618485,1696493,272625,26892778,9
827451,2633085,349362,35163424,9
731156,2133538,314981,28750978,9
720764,2071405,285683,28699015,9
815589,2430276,335559,31607166,9
740019,2274905,318126,29888682,9
793848,2492603,325417,31819595,9
1031479,3400922,413661,36978758,9
750818,2278309,304090,28378075,9
788536,2423173,316475,29536993,9
735802,2316831,300311,29070733,9
893059,2998997,365927,32771025,9
796593,2577770,331618,29269950,9
743919,2324620,310313,29787753,9
752551,2243824,303187,27732578,9
759833,2306735,320802,28979676,9
1439330,7915748,319949,102585388,9
1577377,6168293,283684,73386152,9
1413975,6729063,348461,97800356,9
1469458,5913582,327603,74180648,9
1393321,5857531,292295,81190355,9
545807,2201849,245870,25424072,9
538129,1869699,246174,23158986,9
542777,1914799,235166,22161873,9
494469,1686232,208011,21563541,9
579847,2028706,258119,24616758,9
1010415,3978904,329738,42804134,9
549828,2248285,202796,16104847,9
228042,2031805,78834,9439204,9
166895,1178939,60682,7547199,9
134701,1199978,54129,6854401,9
2088639,7799974,495623,106200026,9
2806735,8310794,900213,122938924,9
809304,3961492,268786,42673046,9
890784,4476475,259427,49243450,9
795375,4779586,254449,63684907,9
3317211,10578869,944445,156947641,9
2310319,7953569,776377,105434888,9
2076247,7700478,623938,120183085,9
5439573,13582589,899014,254455778,9
1243901,4020160,489895,59188693,9
1120965,3570785,423139,43972697,9
963540,2951196,377227,34169858,9
1045192,3668508,400387,44795386,9
731845,2029709,260745,25623053,9
1153526,3476520,391903,37528168,9
899781,2718458,344789,32223546,9
766956,2144604,295142,27992728,9
