@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE classLabel REAL

@DATA
1046474,3777385,853106,18560842,7
847390,2487626,669210,12372926,7
1010230,3059420,770850,15124832,7
1009372,3048489,819421,15090012,7
847417,2508997,675035,12490966,7
1004092,3040159,795106,15047856,7
848861,2522797,660509,12586454,7
843741,2494754,678490,12422531,7
854156,2508126,664966,12509538,7
1007757,3043540,785188,15061415,7
1019239,3081385,741869,15267355,7
1014599,3063870,784597,15180731,7
845805,2507305,688950,12481756,7
856250,2556675,686820,12651717,7
1004595,3015533,791852,15020010,7
1011373,3063173,818733,15160232,7
919167,2847391,740553,13796439,7
947474,2719385,716984,13840326,7
1006084,3039642,790273,15036796,7
841276,2488735,658125,12395233,7
848631,2560754,663134,12666939,7
1057834,3101792,793743,15467014,7
848079,2484155,659070,12367980,7
936224,3107855,814750,15639353,7
1134901,3117582,870533,16464385,7
993705,3001146,819410,15647526,7
786312,2470979,639743,13032607,7
968853,2952912,758558,15350369,7
966739,2961046,783579,15403661,7
865327,2253855,710449,11863179,7
860187,2535226,657525,12624264,7
680304,1926656,551962,9677393,7
840135,2480940,619032,12346280,7
854203,2507728,672757,12484975,7
1063343,3113900,826761,15549340,7
1004332,3043664,812724,15072241,7
1059366,3223798,857115,16049533,7
994769,3001484,789727,14835656,7
879616,2438157,684110,12208988,7
929689,2681605,734357,13675628,7
959181,2985715,717546,14454137,7
928781,2568013,750177,12980675,7
762748,2357753,604170,11538053,7
1028653,2692091,785139,13772447,7
853547,2913832,691117,13737616,7
885856,2555561,714129,12843212,7
1015002,3077243,807366,15239317,7
677925,1924410,549013,9669159,7
1018264,3083846,815499,15284815,7
847196,2498159,660171,12424254,7
1080849,4544324,892578,22126026,7
869885,2650558,685917,13287245,7
848576,2833685,875676,13748609,7
1016635,3085437,809610,15298950,7
853228,2529637,674211,12613312,7
859717,2515492,665269,12557548,7
1004488,3037240,806865,15013827,7
859857,2519928,673849,12557667,7
1168697,3604653,927018,17722250,7
1035597,3079854,815121,15268671,7
848806,2509983,692117,12500568,7
1009461,3044451,797690,15058728,7
830724,2485174,684105,12363642,7
1028874,3077953,798646,15256887,7
858084,2506091,709121,12457254,7
857313,2545570,684000,12710533,7
1024550,3066263,829105,15173656,7
855181,2501956,678338,12478435,7
1105508,5524604,932788,26341640,7
846967,2506535,655770,12480865,7
1022912,3098268,784530,15390683,7
1014289,3044081,785391,15074561,7
1019032,3076781,797718,15255143,7
1056206,4186923,830507,20318596,7
958775,3228337,822897,16469561,7
960355,3017459,779428,14829653,7
806452,2367625,678630,11596339,7
962064,2821139,732618,14186400,7
990991,3607736,825049,17197448,7
1067932,3120213,840781,15602066,7
864466,2545395,658357,12705284,7
683125,1941018,542715,9761970,7
1062881,3114733,853389,15535774,7
864676,2962693,681836,14566428,7
848224,2528950,648699,12594042,7
833278,2503465,645448,12457439,7
7897,42292,12090,190202,7
2571257,20988798,1296517,559151499,8
2568966,19301193,1305086,489133369,8
2776642,22011643,1324071,591471286,8
2978825,21601754,1421916,531500577,8
3053415,21465398,1677486,532468383,8
2354724,18590001,1207536,499023739,8
1891717,13902279,1004997,388689184,8
2429072,17811554,1209764,452784971,8
2397907,19833271,1134095,474743000,8
2100129,17291692,1088803,438947621,8
2544478,20323063,1245720,573396693,8
2597169,17341435,1440832,447716454,8
3088907,21198381,1706745,518766876,8
2330551,18283535,1176313,494709485,8
3190525,21716673,1669267,547727605,8
2731903,20661418,1401422,508972852,8
2822810,22229320,1333268,569502010,8
2319085,18795407,1198320,509293925,8
2967262,20701047,1570984,518751305,8
2759120,20770898,1389553,526895445,8
2880775,22002808,1488529,581067976,8
2719791,21891156,1419738,578871801,8
2722176,21359905,1346252,548606915,8
2786568,20488090,1387304,512967875,8
2832812,20530097,1385571,517901744,8
2527631,18365727,1365155,504289038,8
2588199,20636575,1235006,514074020,8
2429229,17366093,1184661,463678741,8
2687967,19462068,1364042,459435054,8
2267270,18793515,1178818,519742103,8
2556199,21226231,1295633,526792603,8
2659085,21392047,1329779,541663616,8
2139281,17811550,1147578,482610633,8
2690132,21983967,1336490,564949583,8
2747392,21382324,1357359,540599590,8
2615661,19674871,1289096,469786029,8
2738774,21158852,1377794,547273660,8
2477639,20895072,1199718,575302150,8
2783082,22034841,1335900,540881921,8
2335041,19153796,1193976,519999988,8
2705234,20832672,1284007,495975596,8
2418766,20165268,1257388,559514018,8
2877298,20527715,1498765,486101798,8
2308516,20244011,1215269,566415302,8
2536949,20192052,1214950,476502255,8
2499356,20622224,1309703,564108837,8
2660085,22145364,1244994,575127826,8
2609280,20120150,1217998,477450135,8
2522486,20608497,1283962,584777150,8
2786610,21468153,1441278,526985696,8
2860491,22708520,1349953,583644057,8
2381504,19395156,1195282,535035749,8
2863295,21768139,1356327,539785115,8
2794457,22128853,1413303,554113319,8
2636301,20001541,1447671,555614058,8
2708958,18980062,1365052,460349796,8
2197129,16261144,1242720,446036565,8
2896653,20223505,1414388,485188874,8
2479927,20280568,1285302,562297705,8
2689222,22681739,1317292,582348344,8
2919254,22025163,1535840,552853707,8
2875860,20268169,1445427,495470329,8
2361516,19904442,1182885,564201062,8
2664864,20194685,1340076,487834879,8
2390155,19410133,1230753,529513871,8
2586893,21915675,1269093,572245994,8
2733208,20734527,1438203,504560731,8
2746875,20368927,1348271,523173963,8
2615352,20847928,1403433,570389990,8
2410754,18455361,1249345,438374805,8
2462467,19777111,1252894,525661220,8
